lon,lat,common_name,number_found,observation_date,county
-73.8268867,40.6176208,Spotted Lanternfly,1.0,11-Sep-2021,Queens
-73.9728867,40.7790367,Spotted Lanternfly,1.0,15-Sep-2021,New York
-73.9706073,40.6814697,Spotted Lanternfly,1.0,07-Sep-2021,Kings
-73.9794861,40.7135978,Spotted Lanternfly,1.0,15-Sep-2021,New York
-73.9448355,40.6452315,Spotted Lanternfly,1.0,15-Sep-2021,Kings
-73.96576,40.788158,Spotted Lanternfly,1.0,15-Sep-2021,New York
-74.180475,40.5693917,Spotted Lanternfly,1.0,15-Sep-2021,Richmond
-74.0380019,40.6393561,Spotted Lanternfly,1.0,15-Sep-2021,Kings
-74.1299973,40.5999985,Spotted Lanternfly,1.0,16-Sep-2021,Richmond
-74.0716881,40.6165866,Spotted Lanternfly,1.0,07-Sep-2021,Richmond
-73.9375915,40.5486888,Spotted Lanternfly,1.0,16-Sep-2021,Queens
-73.9733512,40.5746888,Spotted Lanternfly,1.0,16-Sep-2021,Kings
-73.9748,40.77622,Spotted Lanternfly,1.0,15-Sep-2021,New York
-73.9661293,40.7597339,Spotted Lanternfly,1.0,16-Sep-2021,New York
-73.9954831,40.6738433,Spotted Lanternfly,1.0,16-Sep-2021,Kings
-73.971671,40.7654472,Spotted Lanternfly,1.0,08-Sep-2021,New York
-74.1658333,40.584525,Spotted Lanternfly,1.0,16-Sep-2021,Richmond
-73.9768667,40.7808533,Spotted Lanternfly,1.0,16-Sep-2021,New York
-74.0445131,40.6894132,Spotted Lanternfly,1.0,16-Sep-2021,New York
-73.9611692,40.8062857,Spotted Lanternfly,1.0,16-Sep-2021,New York
-73.9182721,40.8694665,Spotted Lanternfly,1.0,16-Sep-2021,New York
-73.9182315,40.8694718,Spotted Lanternfly,1.0,16-Sep-2021,New York
-73.9753699,40.7924146,Spotted Lanternfly,1.0,16-Sep-2021,New York
-73.9281455,40.7731736,Spotted Lanternfly,1.0,17-Sep-2021,Queens
-73.9077065,40.7474177,Spotted Lanternfly,1.0,08-Sep-2021,Queens
-73.976495,40.7614367,Spotted Lanternfly,1.0,14-Sep-2021,New York
-73.9777167,40.7957715,Spotted Lanternfly,1.0,17-Sep-2021,New York
-73.9789249,40.7526852,Spotted Lanternfly,1.0,07-Sep-2021,New York
-73.913109,40.753768,Spotted Lanternfly,1.0,03-Sep-2021,Queens
-73.910673,40.747754,Spotted Lanternfly,1.0,08-Sep-2021,Queens
-73.8683752,40.7698399,Spotted Lanternfly,3.0,08-Sep-2021,Queens
-73.8746761,40.770655,Spotted Lanternfly,1.0,18-Sep-2021,Queens
-73.9820178,40.6920764,Spotted Lanternfly,1.0,18-Sep-2021,Kings
-73.9761503,40.7800967,Spotted Lanternfly,1.0,19-Sep-2021,New York
-73.9231015,40.7918988,Spotted Lanternfly,1.0,17-Sep-2021,New York
-73.9398202,40.8538836,Spotted Lanternfly,1.0,17-Sep-2021,New York
-74.0226749,40.6873623,Spotted Lanternfly,1.0,17-Sep-2021,New York
-73.9438633,40.7253033,Spotted Lanternfly,1.0,17-Sep-2021,Kings
-73.9707411,40.6795358,Spotted Lanternfly,1.0,17-Sep-2021,Kings
-73.9285876,40.7759669,Spotted Lanternfly,1.0,18-Sep-2021,Queens
-74.1502007,40.5795317,Spotted Lanternfly,1.0,15-Sep-2021,Richmond
-73.9509367,40.7826533,Spotted Lanternfly,1.0,18-Sep-2021,New York
-74.0959354,40.6094005,Spotted Lanternfly,1.0,10-Sep-2021,Richmond
-74.0063945,40.7343833,Spotted Lanternfly,1.0,18-Sep-2021,New York
-74.0117086,40.7329974,Spotted Lanternfly,1.0,18-Sep-2021,New York
-73.9862217,40.7567167,Spotted Lanternfly,1.0,18-Sep-2021,New York
-73.9788361,40.7447929,Spotted Lanternfly,1.0,18-Sep-2021,New York
-73.9787674,40.7449493,Spotted Lanternfly,1.0,18-Sep-2021,New York
-73.9910697,40.7769509,Spotted Lanternfly,1.0,18-Sep-2021,New York
-74.1639417,40.5821083,Spotted Lanternfly,1.0,11-Sep-2021,Richmond
-74.1028435,40.5717303,Spotted Lanternfly,1.0,18-Sep-2021,Richmond
-73.9984882,40.7317276,Spotted Lanternfly,1.0,19-Sep-2021,New York
-73.9976672,40.6937797,Spotted Lanternfly,1.0,19-Sep-2021,Kings
-74.0111539,40.7020572,Spotted Lanternfly,1.0,19-Sep-2021,New York
-74.010869,40.7020137,Spotted Lanternfly,1.0,19-Sep-2021,New York
-74.0109445,40.7017538,Spotted Lanternfly,1.0,19-Sep-2021,New York
-73.9948067,40.6577633,Spotted Lanternfly,1.0,18-Sep-2021,Kings
-73.951365,40.791172,Spotted Lanternfly,1.0,11-Sep-2021,New York
-74.0099807,40.7027107,Spotted Lanternfly,1.0,19-Sep-2021,New York
-73.9792243,40.7665906,Spotted Lanternfly,1.0,19-Sep-2021,New York
-73.9511194,40.8167444,Spotted Lanternfly,1.0,18-Sep-2021,New York
-74.0185471,40.7059863,Spotted Lanternfly,1.0,19-Sep-2021,New York
-74.011131,40.7017606,Spotted Lanternfly,1.0,19-Sep-2021,New York
-74.0123222,40.7025944,Spotted Lanternfly,1.0,07-Sep-2021,New York
-73.990825,40.6628278,Spotted Lanternfly,1.0,20-Sep-2021,Kings
-73.9724653,40.7651688,Spotted Lanternfly,1.0,13-Sep-2021,New York
-74.1481333,40.5977556,Spotted Lanternfly,1.0,31-Aug-2021,Richmond
-73.9200084,40.5825937,Spotted Lanternfly,1.0,19-Sep-2021,Kings
-73.9167111,40.5821083,Spotted Lanternfly,1.0,26-Aug-2021,Kings
-73.9791717,40.680725,Spotted Lanternfly,1.0,20-Sep-2021,Kings
-74.0098278,40.72635,Spotted Lanternfly,1.0,12-Sep-2021,New York
-73.9564397,40.7680559,Spotted Lanternfly,1.0,20-Sep-2021,New York
-73.9783917,40.7508083,Spotted Lanternfly,1.0,19-Sep-2021,New York
-73.9736898,40.7547631,Spotted Lanternfly,1.0,19-Sep-2021,New York
-74.000696,40.692329,Spotted Lanternfly,1.0,17-Sep-2021,Kings
-73.9456633,40.721745,Spotted Lanternfly,1.0,21-Sep-2021,Kings
-73.9966905,40.7025548,Spotted Lanternfly,1.0,21-Sep-2021,New York
-73.9245088,40.8486835,Spotted Lanternfly,1.0,21-Sep-2021,Bronx
-73.9908333,40.6628139,Spotted Lanternfly,1.0,21-Sep-2021,Kings
-74.1183931,40.6311341,Spotted Lanternfly,1.0,21-Sep-2021,Richmond
-74.0010528,40.7053861,Spotted Lanternfly,1.0,20-Sep-2021,New York
-74.0923388,40.60593,Spotted Lanternfly,1.0,07-Sep-2021,Richmond
-74.0666888,40.5929367,Spotted Lanternfly,1.0,07-Sep-2021,Richmond
