lon,lat,observation_date,county,Spotted Lanternfly
-74.0226749,40.6873623,17-Sep-2021,New York,1
-73.9438633,40.7253033,17-Sep-2021,Kings,1
-73.9707411,40.6795358,17-Sep-2021,Kings,1
-73.9285876,40.7759669,18-Sep-2021,Queens,1
-74.1502007,40.5795317,15-Sep-2021,Richmond,1
-73.9509367,40.7826533,18-Sep-2021,New York,1
-74.0959354,40.6094005,10-Sep-2021,Richmond,1
-74.0063945,40.7343833,18-Sep-2021,New York,1
-74.0117086,40.7329974,18-Sep-2021,New York,1
-73.9862217,40.7567167,18-Sep-2021,New York,1
-73.9788361,40.7447929,18-Sep-2021,New York,1
-73.9787674,40.7449493,18-Sep-2021,New York,1
-73.9910697,40.7769509,18-Sep-2021,New York,1
-74.1639417,40.5821083,11-Sep-2021,Richmond,1
-74.1028435,40.5717303,18-Sep-2021,Richmond,1
-73.9984882,40.7317276,19-Sep-2021,New York,1
-73.9976672,40.6937797,19-Sep-2021,Kings,1
-74.0111539,40.7020572,19-Sep-2021,New York,1
-74.010869,40.7020137,19-Sep-2021,New York,1
-74.0109445,40.7017538,19-Sep-2021,New York,1
-73.9948067,40.6577633,18-Sep-2021,Kings,1
-73.951365,40.791172,11-Sep-2021,New York,1
-74.0099807,40.7027107,19-Sep-2021,New York,1
-73.9792243,40.7665906,19-Sep-2021,New York,1
-73.9511194,40.8167444,18-Sep-2021,New York,1
-74.0185471,40.7059863,19-Sep-2021,New York,1
-74.011131,40.7017606,19-Sep-2021,New York,1
-74.0123222,40.7025944,07-Sep-2021,New York,1
-73.990825,40.6628278,20-Sep-2021,Kings,1
-73.9724653,40.7651688,13-Sep-2021,New York,1
-74.1481333,40.5977556,31-Aug-2021,Richmond,1
-73.9200084,40.5825937,19-Sep-2021,Kings,1
-73.9167111,40.5821083,26-Aug-2021,Kings,1
-73.9791717,40.680725,20-Sep-2021,Kings,1
-74.0098278,40.72635,12-Sep-2021,New York,1
-73.9564397,40.7680559,20-Sep-2021,New York,1
-73.9783917,40.7508083,19-Sep-2021,New York,1
-73.9736898,40.7547631,19-Sep-2021,New York,1
-74.000696,40.692329,17-Sep-2021,Kings,1
-73.9456633,40.721745,21-Sep-2021,Kings,1
-73.9966905,40.7025548,21-Sep-2021,New York,1
-73.9245088,40.8486835,21-Sep-2021,Bronx,1
-73.9908333,40.6628139,21-Sep-2021,Kings,1
-74.1183931,40.6311341,21-Sep-2021,Richmond,1
-74.0010528,40.7053861,20-Sep-2021,New York,1
-74.0923388,40.60593,07-Sep-2021,Richmond,1
-74.0666888,40.5929367,07-Sep-2021,Richmond,1
-74.0217916,40.6852359,13-Sep-2021,New York,1
-73.9907944,40.662825,22-Sep-2021,Kings,1
-73.9610955,40.7969012,22-Sep-2021,New York,1
-73.9697717,40.75375,21-Sep-2021,New York,1
-73.9908472,40.6627139,22-Sep-2021,Kings,1
-74.1184624,40.6326143,21-Sep-2021,Richmond,1
-74.0155366,40.7175248,23-Sep-2021,New York,1
-73.9525896,40.6747574,14-Sep-2021,Kings,1
-73.8037939,40.690483,24-Sep-2021,Queens,1
-73.9906833,40.6650611,24-Sep-2021,Kings,1
-74.015419,40.6928749,24-Sep-2021,New York,1
-73.9609917,40.7940667,24-Sep-2021,New York,1
-73.9728518,40.7638349,25-Sep-2021,New York,1
-74.1691367,40.5717383,24-Sep-2021,Richmond,1
-73.8729147,40.6405024,24-Sep-2021,Kings,1
-74.0029972,40.74857,24-Sep-2021,New York,1
-73.9938367,40.7210217,24-Sep-2021,New York,1
-73.9763717,40.6707383,19-Sep-2021,Kings,1
-74.0162972,40.6870717,18-Sep-2021,New York,1
-74.0086139,40.7094383,07-Sep-2021,New York,1
-73.9729467,40.7790033,24-Sep-2021,New York,1
-73.9542551,40.690551,25-Sep-2021,Kings,1
-73.9666258,40.7859425,21-Aug-2021,New York,1
-74.025999,40.6853736,25-Sep-2021,New York,1
-73.9455998,40.6775698,25-Sep-2021,Kings,1
-73.827286,40.851912,25-Sep-2021,Bronx,1
-73.8620718,40.6430223,25-Sep-2021,Kings,1
-73.8811973,40.562605,25-Sep-2021,Queens,1
-73.9412342,40.8510551,25-Sep-2021,New York,1
-74.1658599,40.5818451,25-Sep-2021,Richmond,1
-74.150965,40.5975422,24-Sep-2021,Richmond,1
-73.9773167,40.7568083,25-Sep-2021,New York,1
-74.0177284,40.7068918,16-Aug-2021,New York,1
-73.9995724,40.6947135,19-Sep-2021,Kings,1
-73.9707028,40.74455,12-Sep-2021,New York,1
-74.0125411,40.7016887,26-Sep-2021,New York,1
-74.110604,40.5668621,14-Sep-2021,Richmond,1
-73.9274533,40.8704417,26-Sep-2021,New York,1
-74.175672,40.530737,07-Sep-2021,Richmond,1
