"x","y","scientific_name","common_name","observation_date","number_found","observer","organization_name","confirmed_ind","species_id_method_name_array","species_verified_by_name","follow_up_name","evaluation_type_name","has_photo_ind","confidential_ind","source_unique_id","source_record_url","imap_url","imap_id","species_type","growth_habit","jurisdiction","county","regional_management_partnership","waterbody","bulk_upload_id","bulk_upload_name","uuid","jurisdiction_species_id","projects","project_ids","approximate_ind","approximate_to"
"-73.8925378","40.6845774","Lycorma delicatula","Spotted Lanternfly","04-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97148840","https://www.inaturalist.org/observations/97148840","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167065.html","1167065","Animal","Plant Pest","New York","Queens","LIISMA","","","","f1b845d9-292e-4246-8bed-1881f3cdc199","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.0040512","40.7078761","Lycorma delicatula","Spotted Lanternfly","06-Sep-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","93948094","https://www.inaturalist.org/observations/93948094","https://imapinvasives.natureserve.org/imap/services/page/Presence/1162129.html","1162129","Animal","Plant Pest","New York","New York","Lower Hudson","","","","769e591c-59a8-49d9-ae1d-fdf68f1d0a28","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9451183","40.8170793","Lycorma delicatula","Spotted Lanternfly","07-Oct-2021","1","Erin Patrick","","true","Photo ID","Thomas Allgaier","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167638.html","1167638","Animal","Plant Pest","New York","New York","Lower Hudson","","","","85eecde5-e92e-4e12-92dc-b4e311fb0c46","1499","","","false",""
"-73.9894480","40.6523938","Lycorma delicatula","Spotted Lanternfly","05-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97259846","https://www.inaturalist.org/observations/97259846","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167641.html","1167641","Animal","Plant Pest","New York","Kings","LIISMA","","","","a8d2b81b-2f2d-4a2f-880a-a4c8f2afd893","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.1989488","40.5918958","Lycorma delicatula","Spotted Lanternfly","05-Oct-2021","","iNaturalist User [NY]","","true","Photo ID,Locally common","Thomas Allgaier","","","true","false","97268021","https://www.inaturalist.org/observations/97268021","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167642.html","1167642","Animal","Plant Pest","New York","Richmond","LIISMA","","","","e0ea1daa-78e6-4eeb-b45a-e22961896ebd","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.0141678","40.6901131","Lycorma delicatula","Spotted Lanternfly","06-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97341067","https://www.inaturalist.org/observations/97341067","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167647.html","1167647","Animal","Plant Pest","New York","New York","Lower Hudson","","","","ba3cd1cc-8060-4383-9c3a-8d8c84e9edfa","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.0141144","40.6901398","Lycorma delicatula","Spotted Lanternfly","06-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97341089","https://www.inaturalist.org/observations/97341089","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167648.html","1167648","Animal","Plant Pest","New York","New York","Lower Hudson","","","","453c1d1a-44e4-4aba-9611-475a94fe4f7f","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-73.9791177","40.6227102","Lycorma delicatula","Spotted Lanternfly","07-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97464047","https://www.inaturalist.org/observations/97464047","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167656.html","1167656","Animal","Plant Pest","New York","Kings","LIISMA","","","","73476ae7-e19b-4a8f-beb6-1a3c3bc62556","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.0141754","40.6900406","Lycorma delicatula","Spotted Lanternfly","06-Oct-2021","","iNaturalist User [NY]","","true","Photo ID","Thomas Allgaier","","","true","false","97341136","https://www.inaturalist.org/observations/97341136","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167651.html","1167651","Animal","Plant Pest","New York","New York","Lower Hudson","","","","57225733-7d88-4fca-9ee6-ef7c12b76a9d","1499","iNaturalist - High Priority Species BATCH CROSSWALK","1052","false",""
"-74.1422200","40.5427900","Lycorma delicatula","Spotted Lanternfly","06-Oct-2021","","Wayne Decker","","true","Photo ID","Thomas Allgaier","","","true","false","","","https://imapinvasives.natureserve.org/imap/services/page/Presence/1167665.html","1167665","Animal","Plant Pest","New York","Richmond","LIISMA","","","","1461c0dc-733b-4cc2-80db-7c4825676cc6","1499","","","false",""
