Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AMPOP,AMREP,Amaranthus retroflexus L. var. powellii (S. Watson) B. Boivin,
AMPOP,AMBR4,Amaranthus bracteosus Uline & Bray,
AMPOP,AMVI4,Amaranthus viscidulus Greene,
AMPU2,,Amaranthus pumilus Raf.,seaside amaranth
AMRE,AMRES,Amaranthus retroflexus L. var. salicifolius I.M. Johnst.,
AMRE,,Amaranthus retroflexus L.,redroot amaranth
AMSP,,Amaranthus spinosus L.,spiny amaranth
AMTU,,Amaranthus tuberculatus (Moq.) Sauer,roughfruit amaranth
AMTU,AMTA3,Amaranthus tamariscinus auct. non Nutt.,
AMTU,ACALS,Acnida altissima (Riddell) Moq. ex Standl. var. subnuda (S. Watson) Fernald,
AMTU,ACAL5,Acnida altissima (Riddell) Moq. ex Standl.,
AMTU,AMAL5,Amaranthus altissimus Riddell,
AMTU,ACALP,Acnida altissima (Riddell) Moq. ex Standl. var. prostrata (Uline & Bray) Fernald,
AMTU,ACCO8,Acnida concatenata (Moq.) Small,
AMTU,ACTA,Acnida tamariscina auct. non (Nutt.) Alph. Wood,
AMTU,AMTUP,Amaranthus tuberculatus (Moq.) Sauer var. prostratus (Uline & Bray) B.L. Rob.,
AMTU,ACTAP,Acnida tamariscina (Nutt.) Alph. Wood var. prostrata Uline & Bray,
AMTU,ACSU,Acnida subnuda (S. Watson) Standl.,
AMTU,AMAM7,Amaranthus ambigens Standl.,
AMTU,AMTUS,Amaranthus tuberculatus (Moq.) Sauer var. subnudus S. Watson,
AMTU,ACTU,Acnida tuberculata Moq.,
AMTU,AMRU,Amaranthus rudis Sauer,
AMVI,AMVI5,"Amaranthus viridus L., orth. var.",
AMVI,,Amaranthus viridis L.,slender amaranth
AMVI,AMGR10,Amaranthus gracilis Desf.,
AMBRO,,Ambrosia L.,ragweed
AMHE3,,Ambrosia ×helenae Rouleau [artemisiifolia × trifida],ragweed
AMAR2,,Ambrosia artemisiifolia L.,annual ragweed
AMARA2,,Ambrosia artemisiifolia L. var. artemisiifolia,annual ragweed
AMARE,,Ambrosia artemisiifolia L. var. elatior (L.) Descourtils,annual ragweed
AMARE,AMEL2,Ambrosia elatior L.,
AMARP,AMMO2,Ambrosia monophylla (Walter) Rydb.,
AMARP,,Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.,annual ragweed
AMARP,AMPA8,Ambrosia paniculata Michx.,
AMARP,AMGL5,Ambrosia glandulosa Scheele,
AMBI2,,Ambrosia bidentata Michx.,lanceleaf ragweed
AMPS,AMCO5,Ambrosia coronopifolia Torr. & A. Gray,
AMPS,AMCA10,Ambrosia californica Rydb.,
AMPS,AMPSL,Ambrosia psilostachya DC. var. lindheimeriana (Scheele) Blank.,
AMPS,,Ambrosia psilostachya DC.,Cuman ragweed
AMPS,AMPSC2,Ambrosia psilostachya DC. var. coronopifolia (Torr. & A. Gray) Farw.,
AMPS,AMCU2,Ambrosia cumanensis auct. non Kunth,
AMPS,AMRU2,Ambrosia rugelii Rydb.,
AMPS,AMPSC,Ambrosia psilostachya DC. var. californica (Rydb.) S.F. Blake,
AMTR,,Ambrosia trifida L.,great ragweed
AMTRT2,,Ambrosia trifida L. var. trifida,great ragweed
AMTRT2,AMTRI,Ambrosia trifida L. var. integrifolia (Muhl. ex Willd.) Torr. & A. Gray,
AMELA,,Amelanchier Medik.,serviceberry
AMIN4,,Amelanchier ×intermedia Spach (pro sp.) [arborea × canadensis],serviceberry
AMNE,,Amelanchier ×neglecta Eggl. ex G.N. Jones (pro sp.) [bartramiana × laevis],serviceberry
AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry
AMARA4,,Amelanchier arborea (Michx. f.) Fernald var. arborea,common serviceberry
AMARA4,AMOB3,Amelanchier oblongifolia (Torr. & A. Gray) M. Roem.,
AMBA,AMOL2,Amelanchier oligocarpa (Michx.) M. Roem.,
AMBA,,Amelanchier bartramiana (Tausch) M. Roem.,oblongfruit serviceberry
